order code,origin_str
103,"TnI,CKMB,PCT"
107,"TnI,PCT"
108,"TnI,D-Dimer,PCT"
111,TnI
112,"TnI,CKMB"
113,"TnI,NT-proBNP"
114,"TnI,D-Dimer"
115,"D-Dimer,NT-proBNP"
117,"TnI,CKMB,NT-proBNP"
118,"TnI,CKMB,D-Dimer"
119,"TnI,D-Dimer,NT-proBNP"
122,"TnI,NT-proBNP,PCT"
133,"TnI,CKMB,D-Dimer,PCT"
137,"TnI,CKMB,NT-proBNP,PCT"
147,"TnI,D-Dimer,NT-proBNP,PCT"
167,"TnI,CKMB,D-Dimer,NT-proBNP,PCT"
207,"CKMB,PCT"
213,"CKMB,D-Dimer,PCT"
218,"CKMB,NT-proBNP,PCT"
222,CKMB
223,"TnI,CKMB,D-Dimer,NT-proBNP"
233,"CKMB,D-Dimer,NT-proBNP,PCT"
306,"D-Dimer,PCT"
311,"D-Dimer,NT-proBNP,PCT"
405,"NT-proBNP,PCT"
444,NT-proBNP
555,D-Dimer
900,PCT
